,index,patch_number,name,patch_data,file_path,syx_file,has_fixed_freqs,id,wav_path,inaudible
10,12,12,Shaker   ,"{
    'name': 'Shaker   ',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [2, 2, 3, 2, 2, 3],
    'fine': [99, 92, 39, 82, 57, 99],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [67, 59, 54, 66, 99, 99],
    'eg_rate': [
		[99, 99, 99, 45, 99, 46],
		[39, 42, 44, 99, 44, 99],
		[21, 22, 23, 35, 21, 52],
		[11, 13, 20, 32, 21, 99]
    ],
    'eg_level': [
		[99, 99, 99, 85, 99, 96],
		[99, 99, 99, 99, 99, 99],
		[99, 0, 99, 99, 0, 0],
		[0, 0, 0, 99, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 3],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,12,DX7_YAMAHA/GreyMatter E! Card/7/12_Shaker   .wav,False
11,13,13,Maracas  ,"{
    'name': 'Maracas  ',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [2, 2, 3, 2, 2, 3],
    'fine': [99, 92, 39, 82, 65, 96],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [67, 59, 54, 66, 97, 99],
    'eg_rate': [
		[99, 99, 99, 45, 87, 57],
		[39, 42, 44, 99, 99, 99],
		[21, 22, 23, 35, 51, 52],
		[11, 13, 20, 32, 53, 80]
    ],
    'eg_level': [
		[99, 99, 99, 85, 91, 96],
		[99, 99, 99, 99, 99, 99],
		[99, 0, 99, 99, 0, 0],
		[0, 0, 0, 99, 0, 0]
    ],
    'sensitivity': [0, 0, 1, 0, 0, 6],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,13,DX7_YAMAHA/GreyMatter E! Card/7/13_Maracas  .wav,False
12,14,14,Samba whs,"{
    'name': 'Samba whs',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 0,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [19, 0, 31, 0, 0, 18],
    'fine': [0, 0, 99, 0, 0, 40],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': -24,
    'ol': [0, 0, 65, 67, 93, 85],
    'eg_rate': [
		[94, 99, 94, 60, 60, 73],
		[56, 20, 68, 39, 39, 70],
		[24, 20, 24, 8, 28, 71],
		[55, 20, 55, 20, 45, 65]
    ],
    'eg_level': [
		[96, 99, 96, 99, 99, 99],
		[78, 0, 89, 99, 99, 99],
		[0, 0, 0, 99, 99, 99],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 1],
    'has_fixed_freq': False,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,False,14,DX7_YAMAHA/GreyMatter E! Card/7/14_Samba whs.wav,False
13,15,15,Acmesiren,"{
    'name': 'Acmesiren',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 1, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 1, 0],
    'feedback': 7,
    'fixed_freq': [0, 0, 0, 1, 0, 0],
    'coarse': [1, 0, 2, 1, 2, 2],
    'fine': [0, 0, 2, 53, 1, 0],
    'detune': [0, 0, -7, 0, 0, -7],
    'transpose': 7,
    'ol': [99, 85, 79, 99, 79, 99],
    'eg_rate': [
		[99, 53, 92, 50, 92, 50],
		[64, 38, 63, 27, 64, 27],
		[25, 14, 32, 14, 25, 14],
		[25, 49, 32, 40, 25, 40]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 0, 99, 0, 99, 0],
		[99, 0, 0, 0, 99, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 3, 0, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,15,DX7_YAMAHA/GreyMatter E! Card/7/15_Acmesiren.wav,False
14,16,16,Quijada  ,"{
    'name': 'Quijada  ',
    'modmatrix': [
		[0, 1, 1, 0, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 0,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [2, 2, 3, 3, 2, 0],
    'fine': [99, 0, 88, 34, 99, 99],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [67, 62, 67, 80, 99, 99],
    'eg_rate': [
		[99, 99, 64, 92, 96, 56],
		[39, 42, 44, 99, 99, 99],
		[21, 22, 54, 66, 35, 31],
		[11, 25, 28, 26, 28, 42]
    ],
    'eg_level': [
		[99, 99, 99, 84, 99, 53],
		[99, 99, 99, 99, 99, 99],
		[99, 0, 99, 0, 99, 0],
		[0, 0, 0, 0, 99, 0]
    ],
    'sensitivity': [0, 0, 4, 7, 0, 1],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,16,DX7_YAMAHA/GreyMatter E! Card/7/16_Quijada  .wav,False
15,17,17,Timpani  ,"{
    'name': 'Timpani  ',
    'modmatrix': [
		[0, 1, 1, 0, 1, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [0, 0, 0, 0, 1, 0],
    'fine': [56, 0, 75, 43, 42, 0],
    'detune': [0, 0, 0, -3, 0, 0],
    'transpose': 0,
    'ol': [70, 79, 92, 94, 82, 99],
    'eg_rate': [
		[98, 99, 65, 99, 99, 89],
		[2, 50, 99, 77, 76, 99],
		[26, 26, 17, 26, 26, 36],
		[27, 19, 30, 23, 23, 35]
    ],
    'eg_level': [
		[98, 99, 91, 99, 99, 89],
		[0, 0, 99, 72, 72, 99],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [1, 1, 4, 2, 1, 2],
    'has_fixed_freq': False,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,False,17,DX7_YAMAHA/GreyMatter E! Card/7/17_Timpani  .wav,False
16,19,19,Sleighbel,"{
    'name': 'Sleighbel',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [1, 2, 2, 3, 1, 3],
    'fine': [99, 92, 16, 91, 33, 48],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [83, 68, 57, 77, 99, 99],
    'eg_rate': [
		[99, 99, 99, 99, 99, 62],
		[39, 42, 44, 43, 44, 99],
		[21, 22, 23, 0, 21, 45],
		[11, 13, 20, 32, 21, 43]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 77],
		[99, 99, 99, 0, 99, 99],
		[99, 0, 99, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 5],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,19,DX7_YAMAHA/GreyMatter E! Card/7/19_Sleighbel.wav,False
17,20,20,Flexatone,"{
    'name': 'Flexatone',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 0, 0, 1, 1],
    'coarse': [0, 0, 7, 2, 3, 0],
    'fine': [0, 74, 0, 0, 2, 1],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [0, 98, 66, 99, 99, 99],
    'eg_rate': [
		[99, 98, 99, 98, 99, 99],
		[79, 42, 34, 39, 18, 74],
		[92, 96, 38, 35, 0, 99],
		[18, 25, 28, 43, 0, 79]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 0, 93, 0, 0],
		[99, 99, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 6, 0, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,20,DX7_YAMAHA/GreyMatter E! Card/7/20_Flexatone.wav,False
18,21,21,China Gon,"{
    'name': 'China Gon',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 0, 0, 0, 1],
    'coarse': [0, 3, 0, 2, 2, 1],
    'fine': [19, 27, 74, 0, 0, 12],
    'detune': [0, 0, 7, -3, 7, 0],
    'transpose': 0,
    'ol': [79, 80, 85, 64, 75, 99],
    'eg_rate': [
		[82, 67, 65, 99, 77, 89],
		[86, 99, 80, 99, 99, 99],
		[26, 26, 39, 50, 26, 36],
		[12, 19, 24, 32, 23, 30]
    ],
    'eg_level': [
		[89, 91, 91, 99, 84, 89],
		[99, 99, 99, 99, 99, 99],
		[99, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 3, 3],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,21,DX7_YAMAHA/GreyMatter E! Card/7/21_China Gon.wav,False
19,22,22,Syn.Gong ,"{
    'name': 'Syn.Gong ',
    'modmatrix': [
		[0, 1, 1, 0, 1, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 0, 1, 1, 1, 0],
    'coarse': [0, 5, 2, 0, 2, 5],
    'fine': [46, 78, 70, 30, 74, 53],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': -24,
    'ol': [99, 87, 28, 99, 81, 85],
    'eg_rate': [
		[71, 61, 99, 99, 99, 99],
		[61, 67, 40, 18, 14, 40],
		[60, 64, 30, 55, 14, 14],
		[9, 10, 10, 17, 19, 39]
    ],
    'eg_level': [
		[90, 99, 99, 92, 90, 99],
		[81, 99, 99, 92, 90, 0],
		[33, 99, 65, 92, 90, 0],
		[0, 32, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,22,DX7_YAMAHA/GreyMatter E! Card/7/22_Syn.Gong .wav,False
20,23,24,Tabla  2 ,"{
    'name': 'Tabla  2 ',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 1],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 5,
    'fixed_freq': [1, 1, 1, 1, 0, 0],
    'coarse': [1, 2, 1, 1, 1, 0],
    'fine': [30, 89, 99, 99, 13, 0],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [78, 83, 55, 99, 95, 99],
    'eg_rate': [
		[98, 99, 99, 99, 99, 99],
		[2, 51, 99, 48, 68, 42],
		[26, 81, 17, 30, 26, 99],
		[92, 74, 92, 59, 23, 60]
    ],
    'eg_level': [
		[98, 99, 99, 99, 99, 99],
		[0, 82, 99, 72, 69, 50],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 7, 2, 3, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,23,DX7_YAMAHA/GreyMatter E! Card/7/24_Tabla  2 .wav,False
