,id,wav_path,name,caption
23,26,DX7_YAMAHA/GreyMatter E! Card/7/27_Glassharp.wav,Glassharp,"Glass bells, which possess a pure, ringing timbre with a delicate percussive attack and a long, shimmering decay."
24,27,DX7_YAMAHA/GreyMatter E! Card/7/28_Gamelan  .wav,Gamelan  ,"Metallophone, which has a clear, ringing timbre with a percussive strike and a gradual decay."
25,28,DX7_YAMAHA/GreyMatter E! Card/7/29_Gamelan  .wav,Gamelan  ,"Metallophone, which has a bright, metallic timbre with a clear attack and a long, resonant decay."
26,29,DX7_YAMAHA/GreyMatter E! Card/7/30_Tomsweep .wav,Tomsweep ,"Percussive drum, which features a resonant, deep timbre with a rapid attack and a pronounced downward pitch sweep that decays quickly."
27,30,DX7_YAMAHA/GreyMatter E! Card/7/31_Boingo   .wav,Boingo   ,"Digital bell, which has a bright, somewhat metallic timbre with a fast, percussive attack and a rapid decay."
28,31,DX7_YAMAHA/GreyMatter E! Card/5/0_Real>Tine.wav,Real>Tine,"Electric piano, which has a warm, bell-like timbre and a ringing sustain."
29,33,DX7_YAMAHA/GreyMatter E! Card/5/2_2001 Bell.wav,2001 Bell,"Bell, which has a bright and metallic timbre with a sharp attack and a long, resonant decay."
30,34,DX7_YAMAHA/GreyMatter E! Card/5/3_Wet-comp .wav,Wet-comp ,"Keyboard pad, which has a warm, modulated timbre with a slow attack and a long, lingering release."
31,35,DX7_YAMAHA/GreyMatter E! Card/5/4_155Sec.ef.wav,155Sec.ef,"Electronic tone, which has a bright, pure initial timbre that evolves into a shimmering, resonant quality with a long, sustained decay."
32,36,DX7_YAMAHA/GreyMatter E! Card/5/5_Lyle's II.wav,Lyle's II,"Digital plucked sound, which has a crisp, bell-like timbre and a sharp attack followed by a rapid decay."
33,37,DX7_YAMAHA/GreyMatter E! Card/5/6_Orch.Powe.wav,Orch.Powe,"Orchestral pad, which has a rich, evolving timbre with a slow attack and a long, sustained release."
34,38,DX7_YAMAHA/GreyMatter E! Card/5/7_Titeguita.wav,Titeguita,"Electric guitar, which possesses a bright, sharp timbre and a very rapid decay following a quick attack."
35,39,DX7_YAMAHA/GreyMatter E! Card/5/8_SUMMER II.wav,SUMMER II,"Pad, which has a bright, slightly resonant timbre and a slow attack and long sustain."
36,40,DX7_YAMAHA/GreyMatter E! Card/5/9_HoJo b....wav,HoJo b...,"Chiptune bass, its timbre is sharp and metallic, characterized by a rapid attack and a relatively short but resonant decay."
37,41,DX7_YAMAHA/GreyMatter E! Card/5/10_YES-TALK..wav,YES-TALK.,"Vocal-like bass, which has a deep, rumbling timbre and a very slow attack and release."
38,42,DX7_YAMAHA/GreyMatter E! Card/5/11_-A- TALK..wav,-A- TALK.,"Vocal effect, which has a very fast, percussive attack and a short, resonant, vowel-like timbre."
39,44,DX7_YAMAHA/GreyMatter E! Card/5/13_YAMATALK-.wav,YAMATALK-,"A short, percussive tone, which has a bright, resonant timbre with a very sharp attack and an immediate, quick decay."
40,45,DX7_YAMAHA/GreyMatter E! Card/5/14_YAMATALK-.wav,YAMATALK-,"Electronic bell, which has a bright, metallic timbre with a sharp, percussive attack and a short, ringing decay."
41,47,DX7_YAMAHA/GreyMatter E! Card/5/16_WarmKS1...wav,WarmKS1..,"Plucked string instrument, which has a clear, warm timbre with a swift initial transient followed by a smooth, lingering decay."
42,49,DX7_YAMAHA/GreyMatter E! Card/5/19_PWR-GUITA.wav,PWR-GUITA,"electric guitar, which has a heavily distorted and gritty timbre with a powerful, sustained attack and a relatively long decay."
43,50,DX7_YAMAHA/GreyMatter E! Card/5/20_*Dlectrix.wav,*Dlectrix,"Electric piano, which has a bright, bell-like timbre and a quick attack followed by a long, ringing sustain."
44,51,DX7_YAMAHA/GreyMatter E! Card/5/21_HARMO KS-.wav,HARMO KS-,"Harmonic pad, its timbre is full and airy, characterized by a gradual attack and a lingering decay that gives it a sustained, pad-like presence."
45,52,DX7_YAMAHA/GreyMatter E! Card/5/22_CLAVINEAT.wav,CLAVINEAT,"Electric keyboard instrument, which has a bright, percussive timbre with a fast attack and quick decay."
46,53,DX7_YAMAHA/GreyMatter E! Card/5/23_GUIT PHAS.wav,GUIT PHAS,"Electric guitar, which features a prominent swirling, phase-shifted timbre and a sustained envelope."
47,54,DX7_YAMAHA/GreyMatter E! Card/5/24_ICE2REV 5.wav,ICE2REV 5,"Digital pad, which has a bright, ethereal timbre with a slow attack and a long, reverberant decay."
48,55,DX7_YAMAHA/GreyMatter E! Card/5/25_Anna Pad .wav,Anna Pad ,"Pad, which has a warm, ethereal, and slowly evolving timbre with a gradual attack and long sustain."
49,56,DX7_YAMAHA/GreyMatter E! Card/5/26_CLAREBELL.wav,CLAREBELL,"Percussive bell, which features a clear, ringing timbre characterized by a sharp attack and a medium-slow decay."
50,57,DX7_YAMAHA/GreyMatter E! Card/5/27_RoeBear .wav,RoeBear ,"Harp, which has a bright, bell-like timbre and a clear attack followed by a resonating decay."
51,58,DX7_YAMAHA/GreyMatter E! Card/5/28_SIMMONS4M.wav,SIMMONS4M,"Electronic percussion, which features a bright, punchy attack and a rapid, almost instant decay."
52,59,DX7_YAMAHA/GreyMatter E! Card/5/29_HAMMERED4.wav,HAMMERED4,"Hammered string instrument, which has a bright, percussive, and metallic timbre with a very fast attack and a relatively short, resonant decay."
53,60,DX7_YAMAHA/GreyMatter E! Card/5/30_Big BassS.wav,Big BassS,"Electronic bass, which has a deep, full timbre with a sharp attack and a long, slowly decaying sustain."
54,61,DX7_YAMAHA/GreyMatter E! Card/2/1_Toms C3-C.wav,Toms C3-C,"Drum, it has a resonant, percussive timbre with a very fast attack and rapid decay, characteristic of a drum hit."
55,62,DX7_YAMAHA/GreyMatter E! Card/2/3_Snare Sho.wav,Snare Sho,"Snare drum, which has a sharp, bright percussive timbre with a prominent snare buzz and a very fast decay."
56,63,DX7_YAMAHA/GreyMatter E! Card/2/4_Open HiHa.wav,Open HiHa,"Hi-hat cymbal, which has a bright, metallic timbre with a sharp attack and a relatively quick, ringing decay."
57,64,DX7_YAMAHA/GreyMatter E! Card/2/6_Bass Drum.wav,Bass Drum,"Bass drum, which has a deep, resonant percussive timbre characterized by a sharp initial transient and a quick decay."
58,65,DX7_YAMAHA/GreyMatter E! Card/2/7_Bass Drum.wav,Bass Drum,"Bass drum, which is deep, punchy, and short with a quick attack and decay."
59,66,DX7_YAMAHA/GreyMatter E! Card/2/8_W.Block 1.wav,W.Block 1,"Pitched percussive sound, which has a bright and clean timbre with a sharp, immediate attack and a relatively quick, resonant decay."
60,67,DX7_YAMAHA/GreyMatter E! Card/2/9_Finger Cl.wav,Finger Cl,"Clavinet, which has a sharp, percussive attack and a clean, rapid decay, giving it a bright, muted string-like timbre."
61,68,DX7_YAMAHA/GreyMatter E! Card/2/10_Agogo    .wav,Agogo    ,"Agogo bell, which has a bright, metallic timbre and a sharp attack followed by a clear, ringing decay."
62,69,DX7_YAMAHA/GreyMatter E! Card/2/11_Castenet .wav,Castenet ,"Castanet, which has a bright, clicking timbre with a very fast attack and decay."
63,70,DX7_YAMAHA/GreyMatter E! Card/2/12_Hard Tamb.wav,Hard Tamb,"Percussive sound, which has a bright, metallic timbre and an extremely rapid decay."
64,71,DX7_YAMAHA/GreyMatter E! Card/2/13_Soft Tamb.wav,Soft Tamb,"Tambourine, which has a bright, jingly timbre with a rapid attack and quick decay."
65,74,DX7_YAMAHA/GreyMatter E! Card/2/16_CongaBong.wav,CongaBong,"Hand drum, which has a resonant, high-pitched timbre with a sharp, immediate attack and a very quick decay."
66,75,DX7_YAMAHA/GreyMatter E! Card/2/17_CongaDrum.wav,CongaDrum,"Drum, which has a resonant, percussive timbre with a quick attack and a short decay."
67,76,DX7_YAMAHA/GreyMatter E! Card/2/18_Squares 1.wav,Squares 1,"Digital tone, which has a bright, pure, and somewhat hollow timbre, characterized by an instant attack and a quick, gated release."
68,77,DX7_YAMAHA/GreyMatter E! Card/2/19_Cool Vibe.wav,Cool Vibe,"Electric piano, which has a warm, mellow timbre with a soft attack and a long, smooth sustain."
69,78,DX7_YAMAHA/GreyMatter E! Card/2/20_Stac.Heav.wav,Stac.Heav,"Electronic melodic percussion, which has a bright, clean timbre and a very short, staccato envelope."
70,79,DX7_YAMAHA/GreyMatter E! Card/2/21_Bongo 2  .wav,Bongo 2  ,"Bongo drum, which has a distinct woody and hollow timbre with a very sharp attack and rapid decay."
71,80,DX7_YAMAHA/GreyMatter E! Card/2/24_rockin....wav,rockin...,"Electric organ, which has a bright, slightly distorted timbre with a sustained, reedy envelope."
72,81,DX7_YAMAHA/GreyMatter E! Card/2/25_Tambourin.wav,Tambourin,"Tambourine, which has a bright, percussive timbre and a very fast attack and decay."
73,82,DX7_YAMAHA/GreyMatter E! Card/2/27_JX-10   1.wav,JX-10   1,"Electronic keyboard, which features a bright, bell-like timbre that sustains extensively with a moderate attack and a long, smooth decay."
74,83,DX7_YAMAHA/GreyMatter E! Card/2/28_CASCADE 2.wav,CASCADE 2,"Atmospheric pad, which has a bright, ethereal timbre that slowly swells into an expansive sound with a gentle whoosh and then gradually fades out with a long release."
75,84,DX7_YAMAHA/GreyMatter E! Card/2/29_Slow3D Pa.wav,Slow3D Pa,"Pad, which has a warm, evolving timbre and a very slow attack and long sustain, creating a soft, spacious, and ethereal quality."
76,85,DX7_YAMAHA/GreyMatter E! Card/2/30_MIRIDOR 1.wav,MIRIDOR 1,"Electronic organ, which has a bright, evolving timbre characterized by a rapid upward frequency sweep, creating a piercing, almost metallic resonance that sustains briefly at its peak."
77,86,DX7_YAMAHA/VRC Voice ROMs/vrc108a/0_PickGuita.wav,PickGuita,"A guitar, which has a bright, plucky timbre with a quick, percussive attack and a relatively fast decay."
78,87,DX7_YAMAHA/VRC Voice ROMs/vrc108a/1_SongFlute.wav,SongFlute,"Flute, which has a warm and pure timbre with a soft, breathy attack and smooth sustain."
79,88,DX7_YAMAHA/VRC Voice ROMs/vrc108a/2_NewCelest.wav,NewCelest,"Celesta, which has a bright, shimmering timbre with a gentle attack and a long, resonant decay."
80,90,DX7_YAMAHA/VRC Voice ROMs/vrc108a/4_MellowHor.wav,MellowHor,"Horn, which has a warm and mellow timbre with a slow attack and gradual decay."
81,91,DX7_YAMAHA/VRC Voice ROMs/vrc108a/5_MilkyWays.wav,MilkyWays,"Pad, which has a shimmering, ethereal timbre with a soft, bell-like attack and a very long, smooth sustain and release."
82,92,DX7_YAMAHA/VRC Voice ROMs/vrc108a/6_Xylo-Bras.wav,Xylo-Bras,"Bell-like percussion instrument, which has a bright, resonant timbre with a sharp, percussive attack and a sustained, full decay reminiscent of brass."
83,93,DX7_YAMAHA/VRC Voice ROMs/vrc108a/7_Rosin-Bow.wav,Rosin-Bow,"Bowed string, which has a warm, resonant timbre with a slow, smooth attack and a long, sustained decay."
84,94,DX7_YAMAHA/VRC Voice ROMs/vrc108a/8_WireStrun.wav,WireStrun,"Plucked string instrument, which has a bright, ringing timbre with a percussive attack and a long, resonant decay."
85,95,DX7_YAMAHA/VRC Voice ROMs/vrc108a/9_DblTrumpe.wav,DblTrumpe,"Trumpet, which has a bright, brassy timbre and a relatively quick attack with a sustained, even tone."
86,96,DX7_YAMAHA/VRC Voice ROMs/vrc108a/10_FullTines.wav,FullTines,"Electric piano, which has a warm, bell-like timbre with a subtle percussive attack and a long, resonant decay."
87,97,DX7_YAMAHA/VRC Voice ROMs/vrc108a/11_Harpsi-Bo.wav,Harpsi-Bo,"Harpsichord, which has a bright, percussive timbre characterized by a very fast attack and a rapid decay."
88,98,DX7_YAMAHA/VRC Voice ROMs/vrc108a/12_}HardBass.wav,}HardBass,"Electronic bass, which has a sharp, slightly distorted edge and a fast, tight envelope."
89,99,DX7_YAMAHA/VRC Voice ROMs/vrc108a/13_PianoFort.wav,PianoFort,"Electric piano, which has a bright, percussive timbre with a clear attack and a relatively quick decay."
90,100,DX7_YAMAHA/VRC Voice ROMs/vrc108a/14_Good-Vibe.wav,Good-Vibe,"Vibraphone, which has a clear, metallic, and resonant timbre with a relatively soft attack and a long, smooth decay."
91,101,DX7_YAMAHA/VRC Voice ROMs/vrc108a/15_Analog-DX.wav,Analog-DX,"Electronic keyboard, the timbre is bright yet warm, with a moderately fast attack and a long, smooth decay that allows notes to ring out and gradually fade."
92,102,DX7_YAMAHA/VRC Voice ROMs/vrc108a/16_SpitFlute.wav,SpitFlute,"Flute, which has a bright, airy timbre with a prominent breath noise, featuring a soft attack and a natural, gradual release."
93,103,DX7_YAMAHA/VRC Voice ROMs/vrc108a/17_St.Elmo's.wav,St.Elmo's,"Atmospheric pad, which features an ethereal and evolving timbre characterized by a very slow attack and long, sustained decay, creating a lingering and airy presence."
94,104,DX7_YAMAHA/VRC Voice ROMs/vrc108a/18_Carolines.wav,Carolines,"Bell, which has a bright, ringing timbre with a quick attack and a relatively fast decay."
95,105,DX7_YAMAHA/VRC Voice ROMs/vrc108a/19_HarpStrum.wav,HarpStrum,"Harp, which features a bright, resonant timbre with a distinct plucked attack and a decaying sustain."
96,106,DX7_YAMAHA/VRC Voice ROMs/vrc108a/20_ClaviPluc.wav,ClaviPluc,"Electric piano, which has a bright, percussive timbre with a very fast attack and a rapid decay."
97,107,DX7_YAMAHA/VRC Voice ROMs/vrc108a/21_MalletHor.wav,MalletHor,"Mallet percussion instrument, which has a bright, percussive attack followed by a resonant, sustained decay with a timbre that evokes both metallic clarity and a subtle horn-like resonance."
98,108,DX7_YAMAHA/VRC Voice ROMs/vrc108a/22_RaspySax .wav,RaspySax ,"electronic saxophone, which has a raspy, buzzy timbre and a relatively sharp attack with a sustained decay."
99,109,DX7_YAMAHA/VRC Voice ROMs/vrc108a/23_HollowHit.wav,HollowHit,"Percussive melodic sound, which has a hollow, resonant timbre with a sharp attack and a moderately decaying envelope."
100,110,DX7_YAMAHA/VRC Voice ROMs/vrc108a/24_Hard~Tine.wav,Hard~Tine,"Electric piano, it features a percussive, bell-like timbre with a fast attack and a clear, resonating sustain."
101,111,DX7_YAMAHA/VRC Voice ROMs/vrc108a/25_FunkyPluc.wav,FunkyPluc,"Electronic keyboard, which features a bright, plucky timbre and a very short, percussive envelope with a rapid attack and decay."
102,112,DX7_YAMAHA/VRC Voice ROMs/vrc108a/26_Whap-Synt.wav,Whap-Synt,"Electronic mallet instrument, which features a bright, resonant timbre with a sharp, percussive attack and a very short decay."
103,113,DX7_YAMAHA/VRC Voice ROMs/vrc108a/27_SoloTrump.wav,SoloTrump,"Trumpet, it has a clear, bright timbre with a relatively quick attack and a sustained decay."
104,114,DX7_YAMAHA/VRC Voice ROMs/vrc108a/28_ReverbStr.wav,ReverbStr,"Electronic strings, which possess a shimmering timbre with a gradual attack and a lengthy, resonant decay."
105,115,DX7_YAMAHA/VRC Voice ROMs/vrc108a/29_TouchOrg-.wav,TouchOrg-,"Organ, which has a clear and bright timbre with a rapid attack and a sustained, ringing decay."
106,116,DX7_YAMAHA/VRC Voice ROMs/vrc108a/30_TouchOrg-.wav,TouchOrg-,"Organ, which has a bright, somewhat reedy timbre with an immediate attack and a moderately sustained sound that rings off relatively quickly."
107,117,DX7_YAMAHA/VRC Voice ROMs/vrc108a/31_FM-Growth.wav,FM-Growth,"Electronic sweep, which slowly swells and brightens with a metallic, evolving timbre and a long decay."
108,118,DX7_YAMAHA/VRC Voice ROMs/vrc107b/0_Fingapikk.wav,Fingapikk,"Digital plucked instrument, which has a bright, clear timbre with a sharp, percussive attack and a short, resonant decay."
109,119,DX7_YAMAHA/VRC Voice ROMs/vrc107b/1_Leadapikk.wav,Leadapikk,"Electronic lead instrument, which has a bright, piercing, and reedy timbre with a fast attack and a quick release."
110,120,DX7_YAMAHA/VRC Voice ROMs/vrc107b/2_Steelypik.wav,Steelypik,"Electric guitar, which exhibits a bright, metallic timbre with a sharp attack and a natural, lingering decay."
111,123,DX7_YAMAHA/VRC Voice ROMs/vrc107b/5_Pan floot.wav,Pan floot,"Pan flute, which has a clear, airy timbre characterized by a soft attack and a smooth decay."
112,124,DX7_YAMAHA/VRC Voice ROMs/vrc107b/6_Huffsynth.wav,Huffsynth,"Organ, which has a bright, reedy timbre and a sustained envelope."
113,125,DX7_YAMAHA/VRC Voice ROMs/vrc107b/7_Trompe   .wav,Trompe   ,"Brass instrument, which has a bright, metallic timbre with a rapid attack and a resonant sustain."
114,126,DX7_YAMAHA/VRC Voice ROMs/vrc107b/8_Englishor.wav,Englishor,"Orchestral strings, which possess a bright, full, and resonant timbre with a gentle, swelling attack and a long, sustained release."
115,127,DX7_YAMAHA/VRC Voice ROMs/vrc107b/9_Harmosynt.wav,Harmosynt,"Tonal percussion, which has a bright, clear initial strike and a complex, ringing timbre that sustains with a long, gradual decay."
116,128,DX7_YAMAHA/VRC Voice ROMs/vrc107b/10_<FM>alog .wav,<FM>alog ,"Plucked string instrument, which has a bright, resonant timbre with a sharp attack and a moderate, ringing decay."
117,129,DX7_YAMAHA/VRC Voice ROMs/vrc107b/11_Backtalk .wav,Backtalk ,"Robotic vocal effect, which features a dark, resonant timbre with a sustained, gliding envelope."
118,130,DX7_YAMAHA/VRC Voice ROMs/vrc107b/12_Newtrumpe.wav,Newtrumpe,"Trumpet, which has a bright and clear timbre with a distinct, moderately sharp attack and a relatively quick decay."
119,131,DX7_YAMAHA/VRC Voice ROMs/vrc107b/13_Elec comb.wav,Elec comb,"Electric plucked string, which has a metallic and resonant timbre with a slow, swelling attack and a long, smooth decay."
120,133,DX7_YAMAHA/VRC Voice ROMs/vrc107b/15_Bell<Wahh.wav,Bell<Wahh,"Bell, which has a bright, percussive attack, a resonant, metallic timbre, and a distinct filter modulation that creates a wah-like character as it decays."
121,134,DX7_YAMAHA/VRC Voice ROMs/vrc107b/16_Bowed bel.wav,Bowed bel,"Sustained bell-like tone, which has a rich, resonant timbre with a slow attack and a long, smooth decay."
122,135,DX7_YAMAHA/VRC Voice ROMs/vrc107b/17_Ting voic.wav,Ting voic,"Digital bell, which has a bright, metallic timbre with a sharp, percussive attack and a long, resonant decay."
123,136,DX7_YAMAHA/VRC Voice ROMs/vrc107b/18_Cymbal   .wav,Cymbal   ,"Cymbal, which has a bright, metallic timbre with a sharp attack and a relatively quick decay."
124,137,DX7_YAMAHA/VRC Voice ROMs/vrc107b/19_Rubbergon.wav,Rubbergon,"Digital pad, which has a sustained, slightly hollow timbre and a long, gentle decay."
125,138,DX7_YAMAHA/VRC Voice ROMs/vrc107b/20_Long gong.wav,Long gong,"Gong, which has a rich, metallic timbre and a very long, ringing decay."
126,139,DX7_YAMAHA/VRC Voice ROMs/vrc107b/21_Smooh bas.wav,Smooh bas,"Electronic bass, which has a smooth, dark timbre with a gradual attack and a long, resonant decay."
127,140,DX7_YAMAHA/VRC Voice ROMs/vrc107b/22_Bowed bas.wav,Bowed bas,"Bowed string instrument, which has a dark, resonant timbre with a slow attack and long sustain, characteristic of a bowed sound."
128,143,DX7_YAMAHA/VRC Voice ROMs/vrc107b/25_Flunk bas.wav,Flunk bas,"Bass, which has a deep, round timbre with a subtle plucked attack and a sustained body followed by a moderate decay."
129,144,DX7_YAMAHA/VRC Voice ROMs/vrc107b/26_Chain saw.wav,Chain saw,"Electronic drone, which features a bright, gritty timbre with a rapid attack and a long sustain."
130,145,DX7_YAMAHA/VRC Voice ROMs/vrc107b/27_Tambourin.wav,Tambourin,"Tambourine, which features a bright, metallic jingle with a percussive attack and a short, resonant decay."
131,146,DX7_YAMAHA/VRC Voice ROMs/vrc107b/28_Thunderon.wav,Thunderon,"Thunder-like rumble, which possesses a forceful, sharp initial transient and a lengthy, resonant decay with a deep, rumbling timbre."
132,147,DX7_YAMAHA/VRC Voice ROMs/vrc107b/29_<<Smash>>.wav,<<Smash>>,"Percussion, which has a bright, metallic timbre with a sharp, transient attack and a very rapid decay."
133,149,DX7_YAMAHA/VRC Voice ROMs/vrc107b/31_Congadrum.wav,Congadrum,"Conga drum, it has a sharp, woody attack with a resonant, quickly decaying timbre."
134,150,DX7_YAMAHA/VRC Voice ROMs/vrc105b/0_DOG      .wav,DOG      ,"Glockenspiel, which has a bright, metallic timbre and a sharp, percussive attack followed by a moderate decay."
135,151,DX7_YAMAHA/VRC Voice ROMs/vrc105b/1_BABY CAT .wav,BABY CAT ,"Bell-like sound, which features a crisp, pure timbre with a quick attack and a gentle, lingering release."
136,152,DX7_YAMAHA/VRC Voice ROMs/vrc105b/2_INSECTS  .wav,INSECTS  ,"Insect buzzing, which is high-pitched and dry, characterized by a very rapid, repetitive, and staccato articulation."
137,153,DX7_YAMAHA/VRC Voice ROMs/vrc105b/3_INSECTS  .wav,INSECTS  ,"Insect-like sound effect, which has a high-pitched, wavering timbre with a rapid, continuous oscillation, and a sustained envelope that slowly fades in and out."
138,154,DX7_YAMAHA/VRC Voice ROMs/vrc105b/4_INSECTS  .wav,INSECTS  ,"Electronic sound effect, which has a bright, high-frequency, buzzing timbre with a rapid, fluctuating envelope that evokes a sense of swarming and agitated movement."
139,155,DX7_YAMAHA/VRC Voice ROMs/vrc105b/5_BIRD     .wav,BIRD     ,"Chirping sound effect, which has a bright, high-frequency timbre with a rapid attack and quick decay for individual events, often featuring upward pitch glides that sometimes evolve into sustained, modulated tones."
140,156,DX7_YAMAHA/VRC Voice ROMs/vrc105b/6_BIRD     .wav,BIRD     ,"Chirp, which has a clear, high-pitched timbre with a very fast attack and a rapid decay."
141,158,DX7_YAMAHA/VRC Voice ROMs/vrc105b/8_BIRD     .wav,BIRD     ,"Glockenspiel, which possesses a bright, metallic timbre and a sharp, rapid decay."
142,159,DX7_YAMAHA/VRC Voice ROMs/vrc105b/9_HEART BEA.wav,HEART BEA,"Rhythmic pulse, which has a deep, resonant timbre with a distinct attack and a relatively quick decay, creating a percussive thumping effect."
143,160,DX7_YAMAHA/VRC Voice ROMs/vrc105b/10_TYPEWRITE.wav,TYPEWRITE,"Typewriter sounds, which feature a distinct percussive click followed by varied sustained tones ranging from a chattering hum to a clear, ringing alert."
144,161,DX7_YAMAHA/VRC Voice ROMs/vrc105b/11_CLOSING  .wav,CLOSING  ,"Pad, which has a slow attack, a long sustain, and a bright, shimmering timbre."
145,162,DX7_YAMAHA/VRC Voice ROMs/vrc105b/12_FACTORY  .wav,FACTORY  ,"Percussion, which has a bright, metallic timbre and a sharp attack with a rapid, resonant decay."
146,163,DX7_YAMAHA/VRC Voice ROMs/vrc105b/13_ROBOT    .wav,ROBOT    ,"Electronic sound effect, which features a resonant, metallic timbre with a prominent, rapid pitch vibrato and a dynamic, vowel-like filter sweep."
147,164,DX7_YAMAHA/VRC Voice ROMs/vrc105b/14_TEMP.BELL.wav,TEMP.BELL,"Bell, which has a clear, metallic timbre with a sharp attack and a long, resonant decay."
148,165,DX7_YAMAHA/VRC Voice ROMs/vrc105b/15_TEMP.BELL.wav,TEMP.BELL,"Bell, which has a bright, metallic timbre and a sharp attack with a long, resonant decay."
149,166,DX7_YAMAHA/VRC Voice ROMs/vrc105b/16_CHURCHBEL.wav,CHURCHBEL,"Bell, which has a bright, metallic timbre and a sharp attack followed by a long, resonant decay."
150,167,DX7_YAMAHA/VRC Voice ROMs/vrc105b/17_BIG BEN  .wav,BIG BEN  ,"Bell, which has a prominent strike, a rich, resonant metallic timbre, and a long, slowly decaying sustain."
151,168,DX7_YAMAHA/VRC Voice ROMs/vrc105b/18_IMAGE    .wav,IMAGE    ,"String pad, which has a bright, shimmery timbre and a slow, gradual attack with a long sustain."
152,169,DX7_YAMAHA/VRC Voice ROMs/vrc105b/19_IMAGE    .wav,IMAGE    ,"Pitched percussion, which exhibits a bright, metallic timbre, featuring a sharp, percussive attack and a long, resonant decay."
153,170,DX7_YAMAHA/VRC Voice ROMs/vrc105b/20_IMAGE    .wav,IMAGE    ,"Bell-like instrument, which has a bright, crystalline timbre characterized by a quick attack and a shimmering, sustained decay."
